Drone sẽ bay tới điểm (2, 2)

Time: 0s | Pos: (0.000708076, 0.000708076) | Pitch: -4.6 | Roll: -4.6
  PWM M1: 1500 | M2: 1806 | M3: 1500 | M4: 1193

Time: 0.03s | Pos: (0.00180619, 0.00180619) | Pitch: -2.532 | Roll: -2.532
  PWM M1: 1500 | M2: 1362 | M3: 1500 | M4: 1637

Time: 0.06s | Pos: (0.00340634, 0.00340634) | Pitch: -3.25964 | Roll: -3.25964
  PWM M1: 1500 | M2: 1548 | M3: 1500 | M4: 1451

Time: 0.09s | Pos: (0.00553107, 0.00553107) | Pitch: -3.40632 | Roll: -3.40632
  PWM M1: 1500 | M2: 1509 | M3: 1500 | M4: 1490

Time: 0.12s | Pos: (0.00822014, 0.00822014) | Pitch: -3.6648 | Roll: -3.6648
  PWM M1: 1500 | M2: 1517 | M3: 1500 | M4: 1482

Time: 0.15s | Pos: (0.0115087, 0.0115087) | Pitch: -3.89316 | Roll: -3.89316
  PWM M1: 1500 | M2: 1515 | M3: 1500 | M4: 1484

Time: 0.18s | Pos: (0.0154316, 0.0154316) | Pitch: -4.12069 | Roll: -4.12069
  PWM M1: 1500 | M2: 1515 | M3: 1500 | M4: 1484

Time: 0.21s | Pos: (0.020023, 0.020023) | Pitch: -4.34156 | Roll: -4.34156
  PWM M1: 1500 | M2: 1514 | M3: 1500 | M4: 1485

Time: 0.24s | Pos: (0.0252804, 0.0253158) | Pitch: -4.32714 | Roll: -4.55714
  PWM M1: 1492 | M2: 1506 | M3: 1507 | M4: 1493

Time: 0.27s | Pos: (0.0312399, 0.0313424) | Pitch: -4.56021 | Roll: -4.76731
  PWM M1: 1500 | M2: 1514 | M3: 1499 | M4: 1485

Time: 0.3s | Pos: (0.0379284, 0.0381342) | Pitch: -4.73679 | Roll: -4.97226
  PWM M1: 1499 | M2: 1512 | M3: 1500 | M4: 1487

Time: 0.33s | Pos: (0.0453741, 0.0456867) | Pitch: -4.91937 | Roll: -4.9421
  PWM M1: 1507 | M2: 1505 | M3: 1492 | M4: 1494

Time: 0.36s | Pos: (0.0536039, 0.0540332) | Pitch: -5.09527 | Roll: -5.15987
  PWM M1: 1498 | M2: 1513 | M3: 1501 | M4: 1486

Time: 0.39s | Pos: (0.0626442, 0.0631985) | Pitch: -5.26724 | Roll: -5.32152
  PWM M1: 1500 | M2: 1511 | M3: 1499 | M4: 1488

Time: 0.42s | Pos: (0.0725207, 0.0732084) | Pitch: -5.43483 | Roll: -5.48954
  PWM M1: 1499 | M2: 1511 | M3: 1500 | M4: 1488

Time: 0.45s | Pos: (0.0832585, 0.0840878) | Pitch: -5.59826 | Roll: -5.65125
  PWM M1: 1500 | M2: 1510 | M3: 1499 | M4: 1489

Time: 0.48s | Pos: (0.0948821, 0.0958608) | Pitch: -5.75763 | Roll: -5.80937
  PWM M1: 1500 | M2: 1510 | M3: 1499 | M4: 1489

Time: 0.51s | Pos: (0.10738, 0.108551) | Pitch: -5.68303 | Roll: -5.96347
  PWM M1: 1492 | M2: 1502 | M3: 1507 | M4: 1497

Time: 0.54s | Pos: (0.120779, 0.122182) | Pitch: -5.85746 | Roll: -6.11375
  PWM M1: 1500 | M2: 1510 | M3: 1499 | M4: 1489

Time: 0.57s | Pos: (0.135097, 0.13674) | Pitch: -5.97685 | Roll: -6.03028
